Specimen,Length,Location,Height,maxLoad,extensionAtMaxLoad,workToMaxLoad,loadAtMaxExt,maxExtension,workToMaxExtension,loadAtCrack,ExtensionAtCrack,workToCrack,loadAtHoldStart,loadAtHoldEnd
CB1,111,LA,9,41.036,6.112,75.0756975,41.036,6.112,75.0756975,7.765,2.911,8.58818,41.036,21.027
CB1,111,DA,6,23.47,4.11,24.7182905,23.47,4.11,24.7182905,20.509,3.852,19.115322,23.47,15.58
CB1,111,LMA,7,72.735,4.828,101.3895025,72.735,4.828,101.3895025,12.985,1.809,8.4782195,72.735,39.007
CB1,111,DTP,4,14.815,2.824,13.021923,14.815,2.824,13.021923,13.05,2.612,10.1376,14.815,9.75
CB1,111,LP,4,17.49,2.715,16.125677,13.561,2.827,17.825767,17.49,2.715,16.125677,10.275,9.685
CB1,111,DP,3,11.54,2.112,6.054952,11.54,2.112,6.054952,11.53,2.11,6.031882,10.73,8.255
CB2,106,LA,8,34.589,5.431,63.9359025,34.589,5.431,63.9359025,24.11,4.703,42.8458745,34.589,19.51
CB2,106,DA,6,46.059,4.123,65.6885835,46.059,4.123,65.6885835,22.667,2.994,28.2216355,46.049,19.245
CB2,106,LMA,6,24.535,4.105,38.6833075,24.35,4.118,39.00106,12.17,2.603,12.161735,24.525,12.688
CB2,106,DTP,4,22.38,2.831,19.0961585,22.38,2.831,19.0961585,12.25,2.231,9.4707395,22.38,13.105
CB2,106,DP,4,14.354,2.853,13.70501,14.354,2.853,13.70501,12.892,2.612,10.4601985,14.354,9.2
CB2,106,LP,2.5,52.765,2.81,28.907099,51.554,2.822,29.533013,24.9,2.532,20.405082,52.765,40.719
CB3,128,LA,10,64.569,6.841,166.183335,63.446,6.843,166.31135,8.194,2.03,6.464033,64.569,32.934
CB3,128,DA,7,44.212,4.806,68.485961,43.954,4.821,69.147206,8.485,2.393,10.179398,44.212,19.579
CB3,128,LMA,6,32.899,4.12,55.6737445,32.899,4.12,55.6737445,11.635,1.929,9.9938205,32.899,14.08
CB3,128,DTP,4,35.121,2.825,32.232233,34.82,2.827,32.302174,9.87,1.719,9.946967,35.121,13.87
CB3,128,LP,5,23.079,3.466,35.7252345,23.044,3.468,35.7713575,12.515,2.085,13.6554285,23.044,9.845
CB3,128,DP,4,26.222,2.842,22.5249285,26.222,2.842,22.5249285,9.208,1.753,6.877295,26.222,12.852
CB4,132,LA,9.5,56.299,6.044,125.822073,45.854,6.47,146.5991695,9.36,2.577,13.2994645,56.159,24.749
CB4,132,DA,9,63.828,6.16,135.576172,63.562,6.172,136.340512,9.575,2.528,13.4319155,63.828,29.46
CB4,132,LMA,7,35.759,4.153,54.620981,31.949,4.821,76.394246,12.235,2.47,14.925894,35.759,14.825
CB4,132,DTP,5,51.464,3.419,56.335517,51.464,3.419,56.335517,8.74,1.435,7.107897,51.464,27.052
CB4,132,LP,5,28.405,3.42,36.6932415,28.21,3.422,36.7498565,12.153,1.981,12.4726855,28.405,15.674
CB4,132,DP,3.5,34.039,2.428,28.9029985,34.039,2.428,28.9029985,9.995,1.167,6.65456,34.039,20.121
CB5,108,LA,9,44.434,6.11,107.650644,44.434,6.11,107.650644,27.37,4.985,67.92023,44.434,26.14
CB5,108,DA,7,72.511,4.817,108.981107,71.398,4.831,109.98847,29.11,3.223,36.60661,72.511,34.931
CB5,108,LMA,6.5,25.945,4.362,46.927635,25.815,4.42,48.42808,15.37,2.929,17.113597,25.855,12.69
CB5,108,DTP,4.5,40.004,3.128,43.896605,40.004,3.128,43.896605,27.354,2.653,28.1438995,40.004,21.954
CB5,108,LP,4.5,34.601,3.119,43.099344,34.601,3.119,43.099344,11.408,1.497,8.960195,34.601,18.65
CB5,108,DP,3,27.935,2.127,22.1954935,27.935,2.127,22.1954935,22.69,1.803,14.1339745,27.935,15.44
PB1,125,LA,9,11.631,4.498,16.2926105,8.48,6.119,25.3001195,11.631,4.498,16.2926105,8.48,5.118
PB1,125,DA,6.5,11.78,4.405,23.4652045,11.265,4.406,23.476727,8.15,2.451,7.81911,11.78,5.333
PB1,125,LMA,6,13,4.128,19.2854855,13,4.128,19.2854855,8.095,2.433,7.2188755,13,6.032
PB1,125,DTP,4,9.93,1.7,5.375089,5.535,2.809,11.5389325,9.93,1.7,5.375089,5.535,2.295
PB1,125,LP,5,8.965,3.433,14.269488,8.965,3.433,14.269488,7.765,2.698,9.184837,8.965,5.18
PB1,125,DP,3,6.945,2.02,5.4539635,6.693,2.123,6.148174,6.745,1.987,5.2280785,6.693,2.625
PB2,112.5,LA,8.5,14.93,5.814,26.921271,14.93,5.814,26.921271,6.575,3.316,7.587296,14.93,7.135
PB2,112.5,DA,7,14.145,4.837,25.0490655,14.145,4.837,25.0490655,4.47,2.08,4.245408,14.145,6.405
PB2,112.5,LMA,7,19.9,4.714,28.5692525,16.235,4.824,30.639222,6.471,2.032,4.4060925,19.9,7.36
PB2,112.5,DTP,4,12.097,2.531,7.4495025,9.755,2.825,10.362811,12.097,2.531,7.4495025,9.755,4.067
PB2,112.5,LP,4.5,11.954,3.099,16.3531465,11.905,3.129,16.7110315,7.176,1.67,4.9472575,11.954,5.82
PB2,112.5,DP,3,2.866,2.122,2.443673,2.866,2.122,2.443673,2.69,1.949,1.971504,2.866,1.645
PB3,114,LA,8.5,13.625,5.824,31.7246445,13.625,5.824,31.7246445,11.568,4.226,17.145224,13.625,7.595
PB3,114,DA,6.5,8.393,4.402,17.035464,8.393,4.402,17.035464,5.812,2.474,5.9569395,8.393,4.135
PB3,114,LMA,6,10.995,4.106,19.004987,10.995,4.106,19.004987,6.989,2.255,7.227867,10.995,5.555
PB3,114,DTP,4,8.175,2.84,12.448516,8.03,2.841,12.4566185,6.155,1.572,3.9889875,8.175,3.512
PB3,114,LP,4.5,7.385,2.13,6.9045295,7.385,2.13,6.9045295,4.18,1.218,2.9780525,7.385,4.065
PB3,114,DP,3,9.761,2.115,7.289364,8.805,2.122,7.354345,2.755,1.027,0.8805215,9.76,2.95
